время,координата,плотность [кг/м3],вязкость [Па*с],давление [Па]
0,0,860,1.5e-05,5e+06
0,160.321,850,1e-05,4.94178e+06
0,320.641,850,1e-05,4.91263e+06
0,480.962,850,1e-05,4.91254e+06
0,641.283,850,1e-05,4.91246e+06
0,801.603,850,1e-05,4.91238e+06
0,961.924,850,1e-05,4.9123e+06
0,1122.24,850,1e-05,4.91222e+06
0,1282.57,850,1e-05,4.91214e+06
0,1442.89,850,1e-05,4.91206e+06
0,1603.21,850,1e-05,4.91198e+06
0,1763.53,850,1e-05,4.9119e+06
0,1923.85,850,1e-05,4.91181e+06
0,2084.17,850,1e-05,4.91173e+06
0,2244.49,850,1e-05,4.91165e+06
0,2404.81,850,1e-05,4.91157e+06
0,2565.13,850,1e-05,4.91149e+06
0,2725.45,850,1e-05,4.91141e+06
0,2885.77,850,1e-05,4.91133e+06
0,3046.09,850,1e-05,4.91125e+06
0,3206.41,850,1e-05,4.91117e+06
0,3366.73,850,1e-05,4.91108e+06
0,3527.05,850,1e-05,4.911e+06
0,3687.37,850,1e-05,4.91092e+06
0,3847.7,850,1e-05,4.91084e+06
0,4008.02,850,1e-05,4.91076e+06
0,4168.34,850,1e-05,4.91068e+06
0,4328.66,850,1e-05,4.9106e+06
0,4488.98,850,1e-05,4.91052e+06
0,4649.3,850,1e-05,4.91043e+06
0,4809.62,850,1e-05,4.91035e+06
0,4969.94,850,1e-05,4.91027e+06
0,5130.26,850,1e-05,4.91019e+06
0,5290.58,850,1e-05,4.91011e+06
0,5450.9,850,1e-05,4.91003e+06
0,5611.22,850,1e-05,4.90995e+06
0,5771.54,850,1e-05,4.90987e+06
0,5931.86,850,1e-05,4.90979e+06
0,6092.18,850,1e-05,4.9097e+06
0,6252.51,850,1e-05,4.90962e+06
0,6412.83,850,1e-05,4.90954e+06
0,6573.15,850,1e-05,4.90946e+06
0,6733.47,850,1e-05,4.90938e+06
0,6893.79,850,1e-05,4.9093e+06
0,7054.11,850,1e-05,4.90922e+06
0,7214.43,850,1e-05,4.90914e+06
0,7374.75,850,1e-05,4.90906e+06
0,7535.07,850,1e-05,4.90897e+06
0,7695.39,850,1e-05,4.90889e+06
0,7855.71,850,1e-05,4.90881e+06
0,8016.03,850,1e-05,4.90873e+06
0,8176.35,850,1e-05,4.90865e+06
0,8336.67,850,1e-05,4.90857e+06
0,8496.99,850,1e-05,4.90849e+06
0,8657.31,850,1e-05,4.90841e+06
0,8817.64,850,1e-05,4.90833e+06
0,8977.96,850,1e-05,4.90824e+06
0,9138.28,850,1e-05,4.90816e+06
0,9298.6,850,1e-05,4.90808e+06
0,9458.92,850,1e-05,4.908e+06
0,9619.24,850,1e-05,4.90792e+06
0,9779.56,850,1e-05,4.90784e+06
0,9939.88,850,1e-05,4.90776e+06
0,10100.2,850,1e-05,4.90768e+06
0,10260.5,850,1e-05,4.90759e+06
0,10420.8,850,1e-05,4.90751e+06
0,10581.2,850,1e-05,4.90743e+06
0,10741.5,850,1e-05,4.90735e+06
0,10901.8,850,1e-05,4.90727e+06
0,11062.1,850,1e-05,4.90719e+06
0,11222.4,850,1e-05,4.90711e+06
0,11382.8,850,1e-05,4.90703e+06
0,11543.1,850,1e-05,4.90695e+06
0,11703.4,850,1e-05,4.90686e+06
0,11863.7,850,1e-05,4.90678e+06
0,12024,850,1e-05,4.9067e+06
0,12184.4,850,1e-05,4.90662e+06
0,12344.7,850,1e-05,4.90654e+06
0,12505,850,1e-05,4.90646e+06
0,12665.3,850,1e-05,4.90638e+06
0,12825.7,850,1e-05,4.9063e+06
0,12986,850,1e-05,4.90622e+06
0,13146.3,850,1e-05,4.90613e+06
0,13306.6,850,1e-05,4.90605e+06
0,13466.9,850,1e-05,4.90597e+06
0,13627.3,850,1e-05,4.90589e+06
0,13787.6,850,1e-05,4.90581e+06
0,13947.9,850,1e-05,4.90573e+06
0,14108.2,850,1e-05,4.90565e+06
0,14268.5,850,1e-05,4.90557e+06
0,14428.9,850,1e-05,4.90548e+06
0,14589.2,850,1e-05,4.9054e+06
0,14749.5,850,1e-05,4.90532e+06
0,14909.8,850,1e-05,4.90524e+06
0,15070.1,850,1e-05,4.90516e+06
0,15230.5,850,1e-05,4.90508e+06
0,15390.8,850,1e-05,4.905e+06
0,15551.1,850,1e-05,4.90492e+06
0,15711.4,850,1e-05,4.90484e+06
0,15871.7,850,1e-05,4.90475e+06
0,16032.1,850,1e-05,4.90467e+06
0,16192.4,850,1e-05,4.90459e+06
0,16352.7,850,1e-05,4.90451e+06
0,16513,850,1e-05,4.90443e+06
0,16673.3,850,1e-05,4.90435e+06
0,16833.7,850,1e-05,4.90427e+06
0,16994,850,1e-05,4.90419e+06
0,17154.3,850,1e-05,4.90411e+06
0,17314.6,850,1e-05,4.90402e+06
0,17474.9,850,1e-05,4.90394e+06
0,17635.3,850,1e-05,4.90386e+06
0,17795.6,850,1e-05,4.90378e+06
0,17955.9,850,1e-05,4.9037e+06
0,18116.2,850,1e-05,4.90362e+06
0,18276.6,850,1e-05,4.90354e+06
0,18436.9,850,1e-05,4.90346e+06
0,18597.2,850,1e-05,4.90338e+06
0,18757.5,850,1e-05,4.90329e+06
0,18917.8,850,1e-05,4.90321e+06
0,19078.2,850,1e-05,4.90313e+06
0,19238.5,850,1e-05,4.90305e+06
0,19398.8,850,1e-05,4.90297e+06
0,19559.1,850,1e-05,4.90289e+06
0,19719.4,850,1e-05,4.90281e+06
0,19879.8,850,1e-05,4.90273e+06
0,20040.1,850,1e-05,4.90264e+06
0,20200.4,850,1e-05,4.90256e+06
0,20360.7,850,1e-05,4.90248e+06
0,20521,850,1e-05,4.9024e+06
0,20681.4,850,1e-05,4.90232e+06
0,20841.7,850,1e-05,4.90224e+06
0,21002,850,1e-05,4.90216e+06
0,21162.3,850,1e-05,4.90208e+06
0,21322.6,850,1e-05,4.902e+06
0,21483,850,1e-05,4.90191e+06
0,21643.3,850,1e-05,4.90183e+06
0,21803.6,850,1e-05,4.90175e+06
0,21963.9,850,1e-05,4.90167e+06
0,22124.2,850,1e-05,4.90159e+06
0,22284.6,850,1e-05,4.90151e+06
0,22444.9,850,1e-05,4.90143e+06
0,22605.2,850,1e-05,4.90135e+06
0,22765.5,850,1e-05,4.90127e+06
0,22925.9,850,1e-05,4.90118e+06
0,23086.2,850,1e-05,4.9011e+06
0,23246.5,850,1e-05,4.90102e+06
0,23406.8,850,1e-05,4.90094e+06
0,23567.1,850,1e-05,4.90086e+06
0,23727.5,850,1e-05,4.90078e+06
0,23887.8,850,1e-05,4.9007e+06
0,24048.1,850,1e-05,4.90062e+06
0,24208.4,850,1e-05,4.90053e+06
0,24368.7,850,1e-05,4.90045e+06
0,24529.1,850,1e-05,4.90037e+06
0,24689.4,850,1e-05,4.90029e+06
0,24849.7,850,1e-05,4.90021e+06
0,25010,850,1e-05,4.90013e+06
0,25170.3,850,1e-05,4.90005e+06
0,25330.7,850,1e-05,4.89997e+06
0,25491,850,1e-05,4.89989e+06
0,25651.3,850,1e-05,4.8998e+06
0,25811.6,850,1e-05,4.89972e+06
0,25971.9,850,1e-05,4.89964e+06
0,26132.3,850,1e-05,4.89956e+06
0,26292.6,850,1e-05,4.89948e+06
0,26452.9,850,1e-05,4.8994e+06
0,26613.2,850,1e-05,4.89932e+06
0,26773.5,850,1e-05,4.89924e+06
0,26933.9,850,1e-05,4.89916e+06
0,27094.2,850,1e-05,4.89907e+06
0,27254.5,850,1e-05,4.89899e+06
0,27414.8,850,1e-05,4.89891e+06
0,27575.2,850,1e-05,4.89883e+06
0,27735.5,850,1e-05,4.89875e+06
0,27895.8,850,1e-05,4.89867e+06
0,28056.1,850,1e-05,4.89859e+06
0,28216.4,850,1e-05,4.89851e+06
0,28376.8,850,1e-05,4.89843e+06
0,28537.1,850,1e-05,4.89834e+06
0,28697.4,850,1e-05,4.89826e+06
0,28857.7,850,1e-05,4.89818e+06
0,29018,850,1e-05,4.8981e+06
0,29178.4,850,1e-05,4.89802e+06
0,29338.7,850,1e-05,4.89794e+06
0,29499,850,1e-05,4.89786e+06
0,29659.3,850,1e-05,4.89778e+06
0,29819.6,850,1e-05,4.89769e+06
0,29980,850,1e-05,4.89761e+06
0,30140.3,850,1e-05,4.89753e+06
0,30300.6,850,1e-05,4.89745e+06
0,30460.9,850,1e-05,4.89737e+06
0,30621.2,850,1e-05,4.89729e+06
0,30781.6,850,1e-05,4.89721e+06
0,30941.9,850,1e-05,4.89713e+06
0,31102.2,850,1e-05,4.89705e+06
0,31262.5,850,1e-05,4.89696e+06
0,31422.8,850,1e-05,4.89688e+06
0,31583.2,850,1e-05,4.8968e+06
0,31743.5,850,1e-05,4.89672e+06
0,31903.8,850,1e-05,4.89664e+06
0,32064.1,850,1e-05,4.89656e+06
0,32224.4,850,1e-05,4.89648e+06
0,32384.8,850,1e-05,4.8964e+06
0,32545.1,850,1e-05,4.89632e+06
0,32705.4,850,1e-05,4.89623e+06
0,32865.7,850,1e-05,4.89615e+06
0,33026.1,850,1e-05,4.89607e+06
0,33186.4,850,1e-05,4.89599e+06
0,33346.7,850,1e-05,4.89591e+06
0,33507,850,1e-05,4.89583e+06
0,33667.3,850,1e-05,4.89575e+06
0,33827.7,850,1e-05,4.89567e+06
0,33988,850,1e-05,4.89558e+06
0,34148.3,850,1e-05,4.8955e+06
0,34308.6,850,1e-05,4.89542e+06
0,34468.9,850,1e-05,4.89534e+06
0,34629.3,850,1e-05,4.89526e+06
0,34789.6,850,1e-05,4.89518e+06
0,34949.9,850,1e-05,4.8951e+06
0,35110.2,850,1e-05,4.89502e+06
0,35270.5,850,1e-05,4.89494e+06
0,35430.9,850,1e-05,4.89485e+06
0,35591.2,850,1e-05,4.89477e+06
0,35751.5,850,1e-05,4.89469e+06
0,35911.8,850,1e-05,4.89461e+06
0,36072.1,850,1e-05,4.89453e+06
0,36232.5,850,1e-05,4.89445e+06
0,36392.8,850,1e-05,4.89437e+06
0,36553.1,850,1e-05,4.89429e+06
0,36713.4,850,1e-05,4.89421e+06
0,36873.7,850,1e-05,4.89412e+06
0,37034.1,850,1e-05,4.89404e+06
0,37194.4,850,1e-05,4.89396e+06
0,37354.7,850,1e-05,4.89388e+06
0,37515,850,1e-05,4.8938e+06
0,37675.4,850,1e-05,4.89372e+06
0,37835.7,850,1e-05,4.89364e+06
0,37996,850,1e-05,4.89356e+06
0,38156.3,850,1e-05,4.89348e+06
0,38316.6,850,1e-05,4.89339e+06
0,38477,850,1e-05,4.89331e+06
0,38637.3,850,1e-05,4.89323e+06
0,38797.6,850,1e-05,4.89315e+06
0,38957.9,850,1e-05,4.89307e+06
0,39118.2,850,1e-05,4.89299e+06
0,39278.6,850,1e-05,4.89291e+06
0,39438.9,850,1e-05,4.89283e+06
0,39599.2,850,1e-05,4.89274e+06
0,39759.5,850,1e-05,4.89266e+06
0,39919.8,850,1e-05,4.89258e+06
0,40080.2,850,1e-05,4.8925e+06
0,40240.5,850,1e-05,4.89242e+06
0,40400.8,850,1e-05,4.89234e+06
0,40561.1,850,1e-05,4.89226e+06
0,40721.4,850,1e-05,4.89218e+06
0,40881.8,850,1e-05,4.8921e+06
0,41042.1,850,1e-05,4.89201e+06
0,41202.4,850,1e-05,4.89193e+06
0,41362.7,850,1e-05,4.89185e+06
0,41523,850,1e-05,4.89177e+06
0,41683.4,850,1e-05,4.89169e+06
0,41843.7,850,1e-05,4.89161e+06
0,42004,850,1e-05,4.89153e+06
0,42164.3,850,1e-05,4.89145e+06
0,42324.6,850,1e-05,4.89137e+06
0,42485,850,1e-05,4.89128e+06
0,42645.3,850,1e-05,4.8912e+06
0,42805.6,850,1e-05,4.89112e+06
0,42965.9,850,1e-05,4.89104e+06
0,43126.3,850,1e-05,4.89096e+06
0,43286.6,850,1e-05,4.89088e+06
0,43446.9,850,1e-05,4.8908e+06
0,43607.2,850,1e-05,4.89072e+06
0,43767.5,850,1e-05,4.89063e+06
0,43927.9,850,1e-05,4.89055e+06
0,44088.2,850,1e-05,4.89047e+06
0,44248.5,850,1e-05,4.89039e+06
0,44408.8,850,1e-05,4.89031e+06
0,44569.1,850,1e-05,4.89023e+06
0,44729.5,850,1e-05,4.89015e+06
0,44889.8,850,1e-05,4.89007e+06
0,45050.1,850,1e-05,4.88999e+06
0,45210.4,850,1e-05,4.8899e+06
0,45370.7,850,1e-05,4.88982e+06
0,45531.1,850,1e-05,4.88974e+06
0,45691.4,850,1e-05,4.88966e+06
0,45851.7,850,1e-05,4.88958e+06
0,46012,850,1e-05,4.8895e+06
0,46172.3,850,1e-05,4.88942e+06
0,46332.7,850,1e-05,4.88934e+06
0,46493,850,1e-05,4.88926e+06
0,46653.3,850,1e-05,4.88917e+06
0,46813.6,850,1e-05,4.88909e+06
0,46973.9,850,1e-05,4.88901e+06
